system,lyap,corr_dim,ap_entropy,"y__fft_coefficient__attr_""angle""__coeff_1","y__fft_coefficient__attr_""angle""__coeff_90","y__fft_coefficient__attr_""angle""__coeff_45","y__fft_coefficient__attr_""angle""__coeff_60","y__fft_coefficient__attr_""angle""__coeff_53","y__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_65","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","y__fft_coefficient__attr_""abs""__coeff_75","y__fft_coefficient__attr_""angle""__coeff_48","y__fft_coefficient__attr_""angle""__coeff_44","y__fft_coefficient__attr_""angle""__coeff_74","y__fft_coefficient__attr_""angle""__coeff_0","y__fft_coefficient__attr_""imag""__coeff_18","y__fft_coefficient__attr_""angle""__coeff_95","y__fft_coefficient__attr_""angle""__coeff_43","y__fft_coefficient__attr_""angle""__coeff_42","y__fft_coefficient__attr_""angle""__coeff_88","y__fft_coefficient__attr_""angle""__coeff_85","y__fft_coefficient__attr_""angle""__coeff_36","y__fft_coefficient__attr_""angle""__coeff_73","y__fft_coefficient__attr_""angle""__coeff_12","y__fft_coefficient__attr_""angle""__coeff_4","y__fft_coefficient__attr_""angle""__coeff_31","y__fft_coefficient__attr_""angle""__coeff_27","y__fft_coefficient__attr_""angle""__coeff_30","y__fft_coefficient__attr_""angle""__coeff_8"
rossler,0.0009062033429218,1.3034536578773754,0.0269550083033445,0.8794019904892305,0.24234092932276144,0.05581281600671406,0.17300009474649752,0.0,0.9398604379748469,0.5888289952054302,0.4885831066614193,0.013107533188258117,0.4419886298900274,0.37497759663853875,0.9499934730598993,0.0,0.2115355893617189,0.04316304776231106,0.0,0.5617549565402845,0.20745884513098906,0.0,0.7973108817986119,0.2847693562248661,0.9999999999999998,0.820021354064523,0.30043704574764585,0.47945092083677066,1.0,0.949833751991072
rossler,0.0006502754342188,1.4213000993097504,0.0305189028289791,0.934718590393783,0.5901602285087595,0.5953901121137879,0.803596042274626,0.1779798881658508,0.9511905156139026,0.4507619138096227,0.26477701560879985,0.03923153870514992,0.32771142590926106,0.11040400625470798,0.2650851650443126,0.0,0.008190141747442592,0.2907103372132881,0.5619757867230187,0.040431833977883413,0.2953409790941474,0.11335267448286945,0.9698789450597267,0.4424245451538001,0.8225907512813002,0.9424369361713558,0.19922547606265134,0.18207863772181782,0.598512516925267,0.07932050198606194
rossler,0.0010031288874946,1.4655232050216471,0.032465287617959,0.9507010622990189,0.9686356197328532,0.25004403486397087,0.6330366920749864,0.33485638413113317,0.9625401063332485,0.015818447849542505,0.9352265688588272,0.03325781135606051,0.7681258608638717,0.21824191620671146,0.5251863235051852,0.0,0.01608568937542132,0.3783197302407971,0.36921340273056547,0.9820551392794883,0.6256582744708503,0.580858669593593,0.03406177165021251,0.8190529118696817,0.02257179248634883,0.012585636108072173,0.5731053813195645,0.5546179157736346,0.04389216341993235,0.8408724219578954
rossler,0.0009465243718858,1.4807713514243517,0.0333710280340643,0.9680993155209017,0.0,0.4154375026980431,0.28622558149841215,0.37118761183242605,0.9739098383328082,0.46116962504168946,0.919250524346216,0.04620001289235699,0.2439515178288048,0.5708358827470145,0.5578401067926598,0.0,0.0,0.18885778357386268,0.09694105144312942,0.520256489398299,0.7264972748627687,0.9741113691856864,0.08697030625141855,1.0,0.4359143458703257,0.0,0.8147262830043387,0.7384858388472336,0.49820618824058527,0.980728077304255
lorenz63,0.0088744069989641,1.5815811122720664,0.1442003033723248,0.899202358871799,0.10724024767089829,0.30416960859234243,0.8835267167477932,0.046070113294309045,0.0,0.5015713306358933,0.07402258711450194,1.0,0.2791352748028368,0.9634418316464043,0.1006659183951984,0.0,0.771548250589464,0.27070415500014233,0.5762013494150514,0.16412428371820786,0.012285530809039213,0.2153590426494313,0.0,0.8785316145304642,0.6840674600964606,0.906877398187645,0.8303512919935749,0.02658835681682864,0.12221915307366699,0.7243923235264627
lorenz63,0.0112473808941221,1.6893158903766088,0.1521212226586003,0.8414674209128626,0.09954907329710094,0.9300654415169078,0.7986220212705943,0.14213101610078643,0.005652255589271071,0.8869437749244191,0.31391737833067335,0.9756409403396461,0.8602069739413214,0.012648388006854527,0.861227658507933,1.0,0.8905084310119663,0.519662933938336,0.672519425221505,0.0,0.9429124131485127,0.32546869180228133,0.5874238133038485,0.3383054764311189,0.9149280391687705,0.48890170986158543,0.9660801888825922,0.8037766727633282,0.9781387342069954,0.9972938702726928
lorenz63,0.007605150907975,1.6535387889755266,0.1562382245123402,0.9543210996368225,0.15094973413651008,0.3829252690394351,0.024374542836781643,0.5404973688331598,0.11357723010313125,1.0,0.0,0.7029217812333203,0.8028993159840183,0.0,0.0,1.0,1.0,0.9870265783614386,0.5125724732409268,0.8566080524907367,1.0,0.3263150304026414,0.23207828598311253,0.8596420568704632,0.5251051506930463,0.682733796220955,0.07472803311645743,0.4996878283739098,0.47300909867578156,0.5348529789604358
lorenz63,0.0109354021820878,1.6896463733103595,0.1494837691735787,0.0,0.9009077602739386,0.4911817402064528,0.18217950909203012,0.08959319608647398,0.2507326946151859,0.0960870462957053,0.32112043781590693,0.9044398819928028,0.9452565095288544,0.9971425980924146,0.18292570563401556,1.0,0.8582063031097384,0.3272622554029791,0.813937355979942,0.4455856590067602,0.1804255873528236,0.09259636832485446,0.6118869414908283,0.6527826700960091,0.7085818615779186,0.5207882243780948,0.88377933206941,0.8225295275685347,0.018841975713292047,0.6674712259141613
aizawa,0.0006573384912311,1.6497442078316615,0.1057413128689709,0.1339404313112259,0.49774191154035236,0.0,0.3619240574900804,0.9372493748193464,0.9441626848167795,0.32757702458626803,0.8166961315089988,0.1459879685883051,0.9892068632942588,0.9875336233472688,0.20535316512126855,1.0,0.8985982579754592,0.419549154816382,0.04809322857517062,0.03847458997566333,0.4830822274844163,0.5499776442069484,0.8196651093310148,0.28905261422100664,0.0,1.0,0.8468622753675424,0.7725599658748437,0.8135185488597978,0.801931307978863
aizawa,0.0003872330649791,1.5922671804996518,0.1078996065807428,0.28391585120171764,0.6644786180224826,0.9529437916147183,0.3852183964052034,0.9388565224109888,0.9618677113232507,0.3805318896822766,0.8933716985926023,0.06825265422545734,1.0,1.0,0.08922313139103583,1.0,0.8968757425906801,0.5379942683375643,0.16203236857997755,0.7270112993151947,0.49312024176772673,0.48747094850923073,0.5533426718275665,0.2772497316804632,0.028388919179289318,0.09133595491707824,0.4074971130282222,0.5181643248864768,0.6199109869408439,1.0
aizawa,0.0007133483145095,1.3040826189014465,0.1049172268653211,1.0,0.33332359386941757,0.9044561133322997,0.3745401616064915,0.9145895895780518,0.9805696223322669,0.3802567311910968,0.8102136513095214,0.018154658633128914,0.9246272820604106,0.858095969492813,0.4893639360644961,1.0,0.8990129282772689,0.9890868035858041,0.9113116612735899,0.8298892545912104,0.38230736929161635,0.38388617381267864,1.0,0.4249188338788453,0.9737913017050331,0.9959564903625299,0.9049529552171154,0.9664936669696409,0.9034042886579825,0.9876089389375599
aizawa,0.0004102645545797,1.394273110050555,0.1069657585502461,0.021929943989073775,0.33446009769928575,0.7934629701478811,0.3751883807294619,0.8958193964370658,1.0,0.39777821641519095,0.7992851267241228,0.03408664482580407,0.9596941460195405,0.7149006523115308,0.5716407060615726,1.0,0.8981439520282296,1.0,0.8299692782959254,0.7976077100742816,0.4443488435734848,0.20266429307455242,0.9951987136996074,0.5619887712090615,0.9449624529280227,0.9819466594479632,0.9798341650493992,0.9506017299702756,0.8355799630640268,0.9913929762973344
